commit	subject	status	path	classification	durable_owner
b48f13c6286af65781e82327eea4deffd471c8a7	fix(sources): normalize markitdown output	A	.10x/evidence/2026-07-08-local-markitdown-output-normalization.md	product-neutral-missing-control-character-normalization	restore MarkItDown normalization ticket
b48f13c6286af65781e82327eea4deffd471c8a7	fix(sources): normalize markitdown output	A	.10x/reviews/2026-07-08-local-markitdown-output-normalization-review.md	product-neutral-missing-control-character-normalization	restore MarkItDown normalization ticket
b48f13c6286af65781e82327eea4deffd471c8a7	fix(sources): normalize markitdown output	A	.10x/tickets/done/2026-07-08-local-markitdown-output-normalization.md	product-neutral-missing-control-character-normalization	restore MarkItDown normalization ticket
b48f13c6286af65781e82327eea4deffd471c8a7	fix(sources): normalize markitdown output	M	src/turbo_search/crawler.py	product-neutral-missing-control-character-normalization	restore MarkItDown normalization ticket
b48f13c6286af65781e82327eea4deffd471c8a7	fix(sources): normalize markitdown output	M	tests/test_crawler.py	product-neutral-missing-control-character-normalization	restore MarkItDown normalization ticket
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/decisions/accept-qdrant-cutover-with-observed-retrieval-regressions.md	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/decisions/apache-2-license.md	product-neutral-already-present-or-evolved-on-develop	current LICENSE/project metadata
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/decisions/client-rrf-k60-for-qdrant.md	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/decisions/compact-v2-artifacts-and-sqlite-state.md	historical-compact-artifact-finding-no-current-measured-need	historical index only; no current owner without measured need
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/decisions/corpus-statistics-bm25-on-qdrant.md	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/decisions/namespace-deletion-requires-confirmed-cli.md	historical-turbopuffer-delete-no-current-product-request	historical index only; no current owner without current product request
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/decisions/qdrant-replaces-turbopuffer.md	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/decisions/superseded/bounded-qdrant-migration-score-regression.md	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-10-compact-plan-v2/measure_compact_v2.py	historical-compact-artifact-finding-no-current-measured-need	historical index only; no current owner without measured need
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-10-compact-plan-v2/measure_fake_apply.py	historical-compact-artifact-finding-no-current-measured-need	historical index only; no current owner without measured need
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-10-qdrant-hybrid-parity/basket-progress-final.json	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-10-qdrant-hybrid-parity/basket.json	qdrant-tantivy-provider-dead-end	historical index; no current authority
d7a37d79de7011d9b4c0a0180f8bcea6265a7f62	feat: cut over search backend to qdrant	A	.10x/evidence/.storage/2026-07-10-qdrant-hybrid-parity/client-rrf-k60-output.txt	qdrant-tantivy-provider-dead-end	historical index; no current authority
